City_ID,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,ilebo,-3.8004,102.2655,28.66,70,96,3.14,ID,1704341144
515,saint stephens,-12.974,40.5178,26.39,100,75,2.24,MZ,1704341146
520,xining,-3.2078,-43.4036,23.36,99,73,1.26,BR,1704341147
522,pioner,-15.8656,-56.0767,24.21,86,98,1.18,BR,1704341147
523,dahay,-23.9631,-46.3919,25.15,26,100,0.45,BR,1704341147
527,kaedi,-8.7522,-67.3978,23.42,99,100,0.8,BR,1704341148
529,greenville,-17.3411,-39.2208,25.37,91,100,3.79,BR,1704341149
540,rexburg,-7.5167,31.05,16.29,99,100,0.35,TZ,1704341151
542,pemba,-25.7336,-53.0572,18.53,93,32,1.69,BR,1704341152
543,ciudad bolivar,-22.9661,-42.0278,23.74,92,100,3.46,BR,1704341152
550,sao vicente,-5.4589,-37.5208,26.68,77,44,4.78,BR,1704341151
558,xinhui,-9.1667,-60.6333,23.14,99,100,0.61,BR,1704341155
559,korla,-31.6229,29.5448,21.0,90,100,3.52,ZA,1704341155
563,lerwick,-37.2639,-56.973,20.03,87,16,5.99,AR,1704341004
